показник,середнє,стандартне_відхилення
потік,45.19915267922066,0.024505285806085034
поглинання,1.0022616578168722,0.0011086114279989076
поділ,0.5084171126024205,0.0006342072568221124
нейтрони поділу,1.2454712716523602,0.001538446741388439
енергія поділів,98451311.33880399,122630.39689135128
радіаційне захоплення,0.4898344977056202,0.0006267135902430772
