номер_позиції,аксіальна_x,аксіальна_альфа,x_см,y_см,тип,fuel_cell_id,енергія_поділів_еВ_на_джерельну_частинку,похибка_енергії_поділів_еВ,поділи_на_джерельну_частинку,похибка_поділів,потік_на_джерельну_частинку,похибка_потоку,поглинання_на_джерельну_частинку,похибка_поглинання,нейтрони_поділу_на_джерельну_частинку,похибка_нейтронів_поділу,частка_потужності,відносна_потужність,похибка_відносної_потужності_наближено
25,0,7,0.0,8.924999999999999,звичайний твел UO₂,121,299675.32629092905,4066.02597721822,0.0015474902211278696,2.1021032349951044e-05,0.040357255646522365,0.0002133304532373564,0.002704111725403883,3.799750831075634e-05,0.0037919580143334314,5.1180192842482286e-05,0.0030438936994921853,0.9496948342415618,0.012907994873209634
26,2,6,2.208364779650318,8.924999999999999,звичайний твел UO₂,126,313433.13397965604,4529.842327778557,0.0016185605679218905,2.341757014615809e-05,0.041081692919248715,0.0002398028000203673,0.002772207809698086,3.897418568044888e-05,0.003965577503641087,5.699895355212304e-05,0.0031836359487485894,0.9932944160095598,0.014377462164386278
27,4,5,4.416729559300636,8.924999999999999,звичайний твел UO₂,131,331799.6620386065,3969.023464558887,0.0017135477345099665,2.052193160822864e-05,0.041210063100717106,0.00022926411680998952,0.0028632371444211467,3.1526727237143995e-05,0.004195787809363371,4.9760517045992485e-05,0.003370190376609332,1.0514993975021116,0.012606319543440691
28,6,4,6.625094338950954,8.924999999999999,звичайний твел UO₂,136,340834.87953197333,4909.039577141925,0.0017602474447452289,2.5384772923730904e-05,0.04144060933981268,0.00024352965800905055,0.002961425068432122,3.838027437923884e-05,0.004309645579121913,6.158508399625114e-05,0.003461963836713623,1.0801327170546504,0.01558117648771486
29,-7,10,-7.729276728776114,8.2875,звичайний твел UO₂,141,340601.5887969019,4916.861127602593,0.0017590696115903153,2.54226035105058e-05,0.041434212361467694,0.0002635302439090225,0.0029682325054186456,4.1427731975044353e-05,0.004307458873747135,6.175416008467228e-05,0.003459594231556526,1.079393400245636,0.01560589259262932
30,-5,9,-5.520911949125795,8.2875,звичайний твел UO₂,146,329026.35769715806,4265.369828683792,0.0016991470071007586,2.2053476048628933e-05,0.04186798041359607,0.0002629895558594036,0.0028817217947878135,3.702368586175221e-05,0.004162329164625334,5.3587837686241594e-05,0.003342021078468604,1.0427105764822044,0.013543075378901417
31,-3,8,-3.312547169475477,8.2875,звичайний твел UO₂,151,327423.0661533102,4930.382145747741,0.001690937664919695,2.54917479275622e-05,0.04158193277390674,0.00022885036730450003,0.002861174677212821,3.8400724249114604e-05,0.004141192713993953,6.199589041555026e-05,0.0033257359572036326,1.0376296186475333,0.015646863359034664
32,-1,7,-1.104182389825159,8.2875,звичайний твел UO₂,156,317882.45029366395,4531.916703381827,0.001641617080721358,2.3432196205426657e-05,0.04115071180099505,0.0002336934186660204,0.00283967927412176,3.841524948139995e-05,0.004021534447726881,5.6917303910951835e-05,0.0032288290117307196,1.0073946516599845,0.014384655152630979
33,1,6,1.104182389825159,8.2875,звичайний твел UO₂,161,313751.1162192526,4719.77736672312,0.0016202377334986855,2.4405685082644735e-05,0.04060858724815564,0.0002166467766993986,0.00280168764072146,3.9854825903994366e-05,0.003969153754351572,5.91911481959971e-05,0.003186865791350708,0.994302126901421,0.014978538850553526
34,3,5,3.312547169475477,8.2875,звичайний твел UO₂,166,334749.90131759294,4469.772469996838,0.001728787186042899,2.3110629605426504e-05,0.041289272632963815,0.00023395864656000043,0.0029316185866494014,3.8134923873094426e-05,0.004233484142538871,5.624141496435007e-05,0.0034001568568813286,1.0608489393469744,0.014190529331058747
35,5,4,5.520911949125795,8.2875,звичайний твел UO₂,171,315510.4341238242,4812.961758776719,0.0016293285918315406,2.487990838765971e-05,0.04081362447179033,0.00023210070909455833,0.0027562701580199885,3.673565485966916e-05,0.003991798225579966,6.068868215994228e-05,0.0032047357199544743,0.999877544625796,0.015273671399932789
36,7,3,7.729276728776114,8.2875,звичайний твел UO₂,176,339501.80466361553,4621.82961322565,0.0017533626250482847,2.390067999353256e-05,0.0412905869453531,0.00023978886873786073,0.0029632599063284778,3.8819616014608114e-05,0.00429368125481191,5.804198491328194e-05,0.003448423388646149,1.0759080972575985,0.014672277666894556
37,-8,10,-8.833459118601272,7.6499999999999995,звичайний твел UO₂,181,338526.011146807,4868.638655947476,0.001748343907540566,2.517363603493141e-05,0.04078129523939359,0.00022402228270475296,0.002961546687826072,4.1047056991636435e-05,0.004280772243433325,6.111429394850432e-05,0.003438511956248357,1.0728157303494874,0.015453014905028753
38,-6,9,-6.625094338950954,7.6499999999999995,звичайний твел UO₂,186,322083.88361446024,4650.804655301176,0.001663327574452312,2.40489753854583e-05,0.041350562531434105,0.0002408009948764851,0.002814333721803907,3.9191027382535344e-05,0.004073729918155931,5.833498458382387e-05,0.0032715042515387275,1.020709326480083,0.014761429213749525
39,-4,8,-4.416729559300636,7.6499999999999995,звичайний твел UO₂,191,331529.59460045304,5013.113559506656,0.001712123148686454,2.5920163167964033e-05,0.041743272900000926,0.00019755515500096546,0.002873553325519419,4.422267768231132e-05,0.004193268385246948,6.292987254938723e-05,0.003367447219260985,1.0506435324094274,0.01590922973231091
