номер_твз,назва_твз,потужність,похибка_потужності_наближено,відносна_потужність
1,tsentralna,13477468.73614773,19853.949613602304,1.2225547908543406
2,skhidna,10611690.803739743,17903.45445933701,0.9625971823908793
3,pivdenno_skhidna,10587718.77707916,17719.214506135362,0.9604226556593292
4,pivdenno_zakhidna,10587313.30009282,17621.49855147122,0.9603858744326809
5,zakhidna,10663108.712681124,17854.954050694876,0.9672613528031911
6,pivnichno_zakhidna,10598504.83668698,17692.289183427096,0.9614010700119157
7,pivnichno_skhidna,10642336.383372638,17695.390066240998,0.9653770738476644
