"показник","середнє","стандартне_відхилення"
"потік","45.44437168487123","0.016240151667747785"
"поглинання","1.0024913458123734","0.000646550347579224"
"поділ","0.5463985013892495","0.00046136997946589814"
"радіаційне захоплення","0.45202104493370854","0.00030556233426405757"
