стан,температура_палива_K,температура_води_K,густина_води_г_см3,температура_оболонки_K,бор_ppm,k_inf,похибка_k_inf,K_pin,похибка_K_pin_наближено,номер_найбільш_навантаженого_твела,середня_потужність_звичайних_твелів,середня_потужність_твегів
Холодний стан,300.0,300.0,0.997,300.0,1300.0,1.1266013676779356,0.000938816748298461,1.156343107046591,0.01985653119826859,310,1.0293950487889698,0.2651237802757573
Гарячий стан без потужності,575.0,575.0,0.7235,575.0,1300.0,1.1156845039230299,0.0008653165371957556,1.153744801974034,0.01646197895469285,11,1.0256929341654228,0.35767664586443837
Робочий стан на потужності,1027.0,575.0,0.7235,600.0,1300.0,1.1050288600143654,0.0009709047934577012,1.1340715450132786,0.016295686489524924,310,1.0256840000034482,0.3578999999137967
Робочий стан без бору,1027.0,575.0,0.7235,600.0,0.0,1.2305333819533046,0.0009842687483203375,1.1317042409270532,0.01752585600813143,140,1.0266105017323142,0.3347374566921497
Підвищена температура палива,1200.0,575.0,0.7235,600.0,1300.0,1.1030044381284292,0.0009712584215079027,1.1224394093629604,0.013483341921391386,188,1.0255963919782467,0.36009020054383617
